question,answer,source
부모 사망 시 경조 휴가는 며칠인가요?,부모 사망 시 경조 휴가는 5일입니다.,employee_handbook_and_hr_policy
본인 생일에 경조 휴가가 있나요?,"네, 본인 생일에 1일의 경조 휴가가 있습니다.",employee_handbook_and_hr_policy
경비 신청서에 포함해야 하는 사항은 무엇인가요?,"경비 신청서에는 지출 목적, 사용 내역, 예상 금액, 증빙 자료(영수증, 세금계산서)를 포함해야 합니다.",expense_management_guide
팀장의 경비 승인 권한은 얼마인가요?,팀장은 50만원 이하 경비 승인 권한을 가집니다.,expense_management_guide
부서장의 경비 승인 권한은 얼마까지인가요?,부서장은 200만원 이하 경비 승인 권한을 가집니다.,expense_management_guide
200만원을 초과하는 경비는 어떻게 승인받아야 하나요?,200만원 초과 경비는 재무팀 승인이 필요합니다.,expense_management_guide
출장비는 어떤 항목으로 구성되나요?,"출장비는 교통비, 숙박비, 식비로 구성됩니다.",expense_management_guide
국내 출장 시 숙박비 상한은 얼마인가요?,"국내 출장 숙박비는 1박 최대 150,000원입니다.",expense_management_guide
해외 출장 시 유럽 지역의 숙박비 상한은 얼마인가요?,유럽 지역 숙박비 상한은 150 EUR입니다.,expense_management_guide
자가용 출장 시 교통비는 얼마나 지급되나요?,자가용 사용 시 킬로미터 당 300원이 지급됩니다.,expense_management_guide
항공 출장 시 기본 좌석 등급은 무엇인가요?,"항공 출장 시 이코노미 클래스가 기본이며, 비즈니스 클래스는 별도 승인이 필요합니다.",expense_management_guide
국내 출장 시 1일 식비 기준은 얼마인가요?,"국내 출장 1일 식비는 아침 10,000원, 점심 15,000원, 저녁 20,000원으로 총 45,000원입니다.",expense_management_guide
해외 출장 시 북미 지역의 식비 상한은 얼마인가요?,북미 지역 식비 상한은 75 USD입니다.,expense_management_guide
연간 도서 구입비 한도는 얼마인가요?,"연간 도서 구입비 한도는 1인당 100,000원입니다.",expense_management_guide
법인카드는 누가 신청할 수 있나요?,법인카드는 팀장급 이상이 신청할 수 있습니다.,expense_management_guide
법인카드 사용 후 정산 기한은 언제까지인가요?,법인카드 사용 후 3영업일 내에 정산해야 합니다.,expense_management_guide
본인 결혼 시 경조사 지원금은 얼마인가요?,본인 결혼 시 30만원이 지원됩니다.,expense_management_guide
자녀 출생 시 경조사 지원금은 얼마인가요?,자녀 출생 시 10만원이 지원됩니다.,expense_management_guide
배우자 사망 시 경조사 지원금은 얼마인가요?,배우자 사망 시 50만원이 지원됩니다.,expense_management_guide
경비 정산 기한은 언제까지인가요?,경비 사용 후 5영업일 내에 정산을 완료해야 합니다.,expense_management_guide
정산서에는 어떤 내용이 포함되어야 하나요?,"정산서에는 사용 내역, 영수증, 승인 내역이 포함되어야 합니다.",expense_management_guide
잘못된 정산은 어떻게 처리되나요?,"잘못된 정산은 반려되며, 수정된 정산서를 다시 제출해야 합니다.",expense_management_guide
예산 초과 지출 시 어떤 절차가 필요한가요?,"예산 초과 지출 발생 시 사전 승인이 필수이며, 초과 지출은 부서장이 책임집니다.",expense_management_guide
법인카드로 주류를 구입하려면 어떻게 해야 하나요?,"주류 구입은 업무 만찬 시에만 가능하며, 사전 승인이 필요합니다.",expense_management_guide
해외 출장 시 아시아 지역의 숙박비 상한은 얼마인가요?,아시아 지역 숙박비 상한은 100 USD입니다.,expense_management_guide
소모품 구입 절차는 어떻게 되나요?,"사무용 소모품 구입은 팀장 승인 후 구매할 수 있으며, 지정된 공급업체에서 사내 구매 시스템을 통해 신청합니다.",expense_management_guide
정산서는 누가 검토하나요?,정산서는 팀장 및 재무팀에서 검토합니다.,expense_management_guide
IT 지원팀의 근무 시간은 언제인가요?,"IT 지원팀 근무 시간은 월요일부터 금요일까지, 오전 9시부터 오후 6시까지입니다.",it_support_guide
24시간 응급 지원 전화번호는 무엇인가요?,24시간 응급 지원 전화번호는 02-1234-5679입니다.,it_support_guide
네트워크 지원 담당자의 이름과 연락처는 무엇인가요?,"네트워크 지원 담당자는 김영수(IT 네트워크 관리자)이며, 이메일은 kimys@company.com, 전화번호는 02-1234-5680입니다.",it_support_guide
계정관리 및 보안 담당자는 누구인가요?,"계정관리 및 보안 담당자는 이민정(보안 관리자)이며, 이메일은 leemj@company.com, 전화번호는 02-1234-5681입니다.",it_support_guide
비밀번호 설정 요구사항은 무엇인가요?,"비밀번호는 최소 8자 이상이어야 하며, 영문 대소문자, 숫자, 특수문자를 포함해야 합니다.",it_support_guide
비밀번호는 얼마나 자주 변경해야 하나요?,"비밀번호는 3개월마다 변경해야 하며, 동일한 비밀번호를 재사용할 수 없습니다.",it_support_guide
계정이 자동으로 잠기는 조건은 무엇인가요?,5회 이상 비밀번호 입력 오류 시 계정이 자동 잠금됩니다.,it_support_guide
외부에서 사내 네트워크에 접속하려면 어떻게 해야 하나요?,"외부 접속 시 VPN 사용이 필수이며, VPN 계정은 IT 지원팀을 통해 신청할 수 있습니다.",it_support_guide
소프트웨어 설치 정책은 어떻게 되나요?,"모든 소프트웨어 설치는 IT 지원팀의 승인 후 가능하며, 불법 소프트웨어 설치는 금지됩니다. 업무 관련 소프트웨어는 IT 지원팀을 통해 요청할 수 있습니다.",it_support_guide
회사 장비 분실 시 어떻게 해야 하나요?,장비 분실 또는 파손 발생 시 즉시 IT 지원팀에 보고해야 합니다.,it_support_guide
퇴사 시 장비 반납 절차는 어떻게 되나요?,"퇴사 시 모든 회사 장비는 IT 지원팀에 반납해야 하며, 장비 반납 후 데이터 초기화를 확인합니다.",it_support_guide
기밀 자료 접근 정책은 무엇인가요?,기밀 자료는 사내 네트워크에서만 접근 가능하도록 설정됩니다.,it_support_guide
외부로 파일을 공유할 때 필수 사항은 무엇인가요?,외부 공유 시 비밀번호 보호 또는 링크 만료 설정이 필수입니다.,it_support_guide
IT 지원 요청은 어떻게 할 수 있나요?,"IT 지원 요청은 이메일(it_support@company.com), 전화(02-1234-5678), 또는 사내 IT 지원 시스템(온라인 티켓 시스템)을 통해 할 수 있습니다.",it_support_guide
IT 지원 요청 시 어떤 내용을 포함해야 하나요?,"문제 발생 시점, 발생 위치(장비, 소프트웨어 등), 오류 메시지(가능하면 스크린샷 첨부)를 포함하여 요청해야 합니다.",it_support_guide
소프트웨어 및 시스템 유지보수 담당자는 누구인가요?,"소프트웨어 및 시스템 유지보수 담당자는 박성호(IT 시스템 관리자)이며, 이메일은 parksh@company.com, 전화번호는 02-1234-5682입니다.",it_support_guide
IT 지원 가이드의 적용 대상은 누구인가요?,"IT 지원 가이드는 모든 사내 직원에게 적용되며, 정규직, 계약직, 인턴 등 모든 사용자를 포함합니다.",it_support_guide
VPN 접속 오류 시 어떻게 해결해야 하나요?,"VPN 접속 불가 시 네트워크 상태를 확인하고, VPN 클라이언트 최신 버전 설치를 확인합니다. 오류가 지속되면 IT 지원팀에 문의합니다.",it_support_guide
민감한 데이터는 어떻게 저장해야 하나요?,민감한 데이터는 암호화하여 저장해야 합니다.,it_support_guide
응급 지원이 필요한 상황은 어떤 경우인가요?,"서버 다운, 데이터 손실 등 심각한 문제 발생 시 즉시 긴급 연락망으로 신고해야 하며, 응급 지원은 24시간 가능합니다.",it_support_guide
회사가 수집하는 개인정보에는 어떤 항목들이 포함되나요?,"회사가 수집하는 개인정보에는 이름, 연락처, 이메일, 직책, 근무 기록 등이 포함됩니다.",legal_and_compliance_policy
개인정보 수집 시 회사가 따라야 하는 절차는 무엇인가요?,"개인정보 수집 시 사전 동의를 받고, 동의 내용은 기록으로 보관해야 합니다.",legal_and_compliance_policy
수집된 개인정보는 어떻게 저장되나요?,개인정보는 내부 시스템에 암호화하여 저장합니다.,legal_and_compliance_policy
개인정보를 외부로 전송할 때 어떤 방식을 사용해야 하나요?,외부 전송 시 암호화된 통신 방식을 사용해야 합니다.,legal_and_compliance_policy
개인정보 보관 기간이 종료되면 어떻게 처리하나요?,"보관 기간 종료 시 데이터는 완전 삭제하거나 물리적으로 파기하며, 파기 기록은 별도 보관합니다.",legal_and_compliance_policy
기밀 정보에는 어떤 것들이 포함되나요?,"기밀 정보란 회사의 영업 비밀, 내부 자료, 고객 정보, 연구 자료, 기술 문서 등을 포함합니다.",legal_and_compliance_policy
직원의 기밀 유지 의무는 언제까지 유효한가요?,모든 직원은 근무 중 및 퇴사 후에도 기밀 정보를 외부에 유출할 수 없습니다.,legal_and_compliance_policy
기밀 정보를 외부로 전송할 때 사용해야 하는 방법은 무엇인가요?,"외부 전송 시 보안 메일, 암호화된 파일을 사용해야 합니다.",legal_and_compliance_policy
초과 근무 및 휴일 근무에 대한 회사의 의무는 무엇인가요?,"초과 근무 시 시간 외 수당을 지급하며, 휴일 근무는 별도 수당을 적용합니다.",legal_and_compliance_policy
성희롱 예방 교육은 얼마나 자주 실시하나요?,회사는 매년 성희롱 예방 교육을 실시합니다.,legal_and_compliance_policy
성희롱 발생 시 어떤 절차가 진행되나요?,"성희롱 발생 시 인사팀은 즉시 조사하며, 피해자를 보호합니다.",legal_and_compliance_policy
징계 대상이 되는 위반 행위에는 무엇이 있나요?,"개인정보 유출, 기업 정보 위반, 직장 내 괴롭힘, 성희롱 등이 징계 대상입니다.",legal_and_compliance_policy
회사의 징계 종류에는 어떤 것들이 있나요?,"징계 종류에는 경고, 감봉, 정직, 해고가 있습니다.",legal_and_compliance_policy
징계 절차에서 최종 결정은 누가 내리나요?,"징계 대상자는 소명할 수 있으며, 최종 결정은 징계위원회에서 내립니다.",legal_and_compliance_policy
직원이 법적 의무나 권리에 대해 상담하려면 어디에 문의해야 하나요?,직원은 법적 의무나 권리에 대해 인사팀 또는 법무팀에 상담할 수 있습니다.,legal_and_compliance_policy
외부 법률 자문 내용은 어떻게 관리되나요?,자문 내용은 내부적으로 기록하고 관리합니다.,legal_and_compliance_policy
규정이 변경되면 어떻게 공지되나요?,"규정 변경 시 사내 인트라넷을 통해 공지하고, 변경 내용을 명확히 안내합니다.",legal_and_compliance_policy
본 규정은 언제 업데이트될 수 있나요?,본 규정은 법령 변경 시 업데이트할 수 있습니다.,legal_and_compliance_policy
